Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar
1310	Erzsi	X200000-0	Ba Va Sa Fo	{ -3 }	(600-5)	[0000]	-	-	R	011	7	SoCf	M6 III
1401	Anemone	C988766-3	Ag Ri O:Magy-1438	{ 1 }	(868-2)	[5847]	-	-	-	503	10	SoCf	G7 V M0 V
1408	Yanos	C887944-6	Ga Hi Pr Dolp0	{ 0 }	(387-2)	[8964]	-	-	-	902	10	NaHu	F6 V M5 V
1501	Boroka	D510546-7	Ni Tz	{ -3 }	(341+1)	[6258]	-	-	-	611	11	SoCf	M6 V
1510	Gyula	C200653-9	Na Ni Va Tz	{ -1 }	(C51-5)	[6505]	-	-	-	122	9	SoCf	M8 V M3 V
1602	Cor Caroli	X000000-0	As Ba Va Fo	{ -3 }	(400-5)	[0000]	-	-	R	002	12	NaXX	F0 V A0 IV
1605	Sextus	B7B5625-A	Fl Ni Lk	{ 2 }	(957+2)	[4839]	-	KM	-	113	13	SoCf	M3 V
1606	Malebranche	C4A2746-8	Fl He Tz	{ -1 }	(965-4)	[761A]	-	-	-	102	9	SoCf	M0 V
1609	Louvain	A5449BB-B	Hi In Co Cp	{ 5 }	(78C-3)	[9E29]	-	KM	-	502	8	SoCf	K8 V
1802	Borodino	E318126-8	Ic Lo Tz	{ -3 }	(E00-2)	[1169]	-	-	-	734	19	SoCf	M8 V
1806	Concepcion 	C945779-6	Ag Pi	{ 0 }	(86B+2)	[7754]	-	-	-	131	12	SoCf	K5 V
1809	Aden	B69A6A9-7	Ni Wa Ho Sa	{ -1 }	(450+1)	[5546]	-	-	-	302	9	SoCf	G4 V
1901	Dandromeda	E400200-9	Lo Va Co	{ -2 }	(910-5)	[510C]	-	-	-	502	12	SoCf	K3 III
1904	Werdau	E510477-7	Ni Sa	{ -3 }	(833+2)	[413A]	-	-	-	221	7	NaHu	M9 V
1908	Cretensis	E310233-7	Lo Tz	{ -3 }	(810+0)	[1157]	-	-	-	114	16	SoCf	M1 V M8 V
1909	Xiping	E410145-7	Lo Sa	{ -3 }	(900+3)	[1165]	-	-	-	112	14	SoCf	F0 IV K5 V
2001	Klimovsk	A4A6735-C	Fl	{ 2 }	(C6A+2)	[597C]	-	-	-	102	6	SoCf	G0 V
2004	Octavia	A631669-B	Na Ni Po Px O:2007	{ 1 }	(752+0)	[674A]	-	-	-	730	11	SoCf	K7 V
2007	Castine	A763A88-E	Hi Cp	{ 4 }	(F9G+1)	[7E2B]	-	KM	-	231	12	SoCf	G6 V
2101	Kvaranteno	X410000-0	Ba Tz Fo	{ -3 }	(900-5)	[0000]	-	-	R	001	9	NaXX	M7 V
2103	Tanqueray	A6589BA-A	Hi Tz Da	{ 3 }	(68A+3)	[AC2C]	-	-	A	202	8	SoCf	M4 V
2108	Petruchio	C000984-9	As Hi In Na Va Tz	{ 2 }	(F85+1)	[8B5B]	-	-	-	223	14	SoCf	M8 V M6 V
2202	Valence	E557265-5	Lo Co Re O:2007	{ -3 }	(710+2)	[1115]	-	-	-	101	11	SoCf	G4 V
2203	Ordoyne	D687459-5	Ga Ni Pa Tu	{ -3 }	(C32-1)	[1142]	-	-	-	631	11	SoCf	K3 V K6 V
2204	Sopor	D402300-7	Ic Lo Va Tz	{ -3 }	(420-5)	[4104]	-	-	-	102	12	SoCf	M6 V
2205	Ruchbah	E000543-7	As Ni Va Ho	{ -3 }	(B40+0)	[1259]	-	-	-	333	8	SoCf	A5 IV
2209	Gilliam	E410344-7	Lo Co Lk	{ -3 }	(920+2)	[1146]	-	-	-	322	11	SoCf	M4 V
2210	Sulidae	B400462-C	Ni Va Co Tz O:2007	{ 1 }	(E37-2)	[755E]	-	-	-	422	12	SoCf	M5 V
2303	Glinde	D310576-8	Ni	{ -3 }	(942+1)	[3288]	-	-	-	203	12	NaHu	K8 II
2304	Agrippa	C7A7853-9	Fl Ph	{ 0 }	(B75-1)	[9839]	-	K	-	702	11	NaHu	F6 V
2308	Volzhsk	E9B5133-8	Fl Lo Fr	{ -3 }	(400+0)	[2157]	-	-	-	100	10	SoCf	M2 V M8 V
2401	Thaler	C545413-5	Ni Pa Lk	{ -1 }	(B35-1)	[7327]	-	KM	-	501	7	NaHu	K7 V
2402	Gamine	C201532-9	Ic Ni Va Co Tz	{ -1 }	(D40+4)	[8475]	-	-	-	420	9	NaHu	M0 V
2403	Dirigo	E856336-5	Ga Lo Di (Gamopedes)	{ -3 }	(620-2)	[1141]	-	-	-	431	12	SoCf	G3 V
2404	Tiamat	EA8A66A-7	Ni Oc Ri O:2007	{ -2 }	(553+2)	[2469]	-	-	-	211	9	SoCf	G9 V
2407	Baxter Station	A31065A-9	Na Ni	{ 1 }	(C53-2)	[875C]	-	KM	-	200	8	SoCf	K9 V
2410	Noxious	CAA69D9-8	Fl Hi In Tz Fo	{ 1 }	(D88-2)	[9A86]	-	-	R	204	10	NaHu	M9 V
2503	Caucus	B410504-A	Ni Tz	{ 1 }	(C46+1)	[468A]	-	-	-	122	9	NaHu	M4 V G8 V
2505	Gunsan	A530434-9	De Ni Po Co Tz	{ 0 }	(735-4)	[6434]	-	-	-	602	14	SoCf	M9 V M0 V
2506	Novacalgari	EA99377-7	Lo Ho Lk	{ -3 }	(720-2)	[6176]	-	-	-	123	12	SoCf	M6 V
2508	Goneril	D542656-5	He Ni Po	{ -3 }	(850+0)	[7349]	-	-	-	233	13	SoCf	G7 V
2509	Orlova	E410103-7	Lo Co Lk	{ -3 }	(400+3)	[1148]	-	-	-	902	10	SoCf	M7 V
2603	Pellucid	E403112-7	Ic Lo Va Co Tz	{ -3 }	(500+2)	[1168]	-	-	-	530	10	SoCf	M0 V G3 V
2605	Regent	E673400-5	Ni	{ -3 }	(730-2)	[3175]	-	-	-	103	8	SoCf	F3 V
2606	Vertigo	X200100-7	Lo Va Fo	{ -3 }	(900-3)	[1186]	-	-	R	300	9	NaHu	K1 V
2610	Margo	E200433-7	Ni Va Tz	{ -3 }	(730+3)	[6176]	-	-	-	622	17	SoCf	M5 V
2702	Tannhauser	B310525-A	Ni Ho	{ 2 }	(D43-1)	[474B]	-	KM	-	634	14	SoCf	A4 V M4 V
2802	Megrez	C302520-9	Ic Ni Va	{ -1 }	(940+3)	[74AA]	-	-	-	702	10	SoCf	A3 V
2808	Alcemena	B2009BF-9	Hi In Na Va	{ 3 }	(D89-1)	[AC26]	-	-	-	403	12	SoCf	K4 V K5 V
2810	Samarkand	D752645-4	Ni Po	{ -3 }	(A53+5)	[3332]	-	-	-	220	10	SoCf	G0 V
2901	Levitov	E743111-6	Lo Po Lk	{ -3 }	(700+2)	[2119]	-	-	-	701	5	SoCf	K9 V
2906	Gedik	B542645-5	He Ni Po Ho	{ -1 }	(750-3)	[7521]	-	-	-	601	10	NaHu	F3 V
2908	Helicanus	A203442-B	Ic Ni Va Co Tz	{ 1 }	(A32+2)	[4549]	-	-	-	623	14	SoCf	M4 V
2909	Sarapul	E59A147-5	Lo Wa Ho Tz	{ -3 }	(900+1)	[5165]	-	-	-	403	14	SoCf	K4 V G0 V
3003	Pieri	A897877-A	Pa Ph Pi Cp	{ 3 }	(777-3)	[BB1C]	-	KM	-	122	9	SoCf	G8 V
3101	Beta Martius	B510376-7	Lo Tz	{ -1 }	(720-3)	[2265]	-	-	-	424	12	SoCf	M1 V M2 V
3102	Magadan	E201211-9	Ic Lo Va	{ -2 }	(410-5)	[410B]	-	-	-	100	10	SoCf	K3 V
3108	Horicon	E315125-8	Ic Lo Ho Tz	{ -3 }	(700+0)	[3176]	-	-	-	501	10	SoCf	K4 V
3109	Noor	E631386-6	Lo Po Px Tz	{ -3 }	(820+0)	[1157]	-	-	-	103	8	SoCf	M1 V M4 V
3201	Ambergris	A69A889-D	Ph Pi Wa Dolp1	{ 2 }	(974-3)	[8A5G]	-	-	-	124	10	SoCf	K9 V
3203	Taronga	C648463-7	Ni Pa O:1203	{ -2 }	(533+4)	[9255]	-	-	-	933	15	SoCf	K7 V
3207	Hypericum	B544544-8	Ag Ni	{ 0 }	(A42+0)	[2576]	-	-	-	621	15	SoCf	K7 V
3208	Maegret	E300338-7	Lo Va Co	{ -3 }	(420-1)	[4175]	-	-	-	201	8	SoCf	K3 V A5 V
0111	Sahuarita	B520698-7	De He Na Ni Po	{ 0 }	(851+1)	[4676]	-	KM	-	832	15	SoCf	F1 V
0112	Shiver	E648214-5	Lo Fr	{ -3 }	(510+0)	[1117]	-	-	-	713	8	SoCf	M1 V
0118	Hipponax	A889A8A-E	Hi Co Sa Cp	{ 4 }	(B9F+2)	[7E4A]	-	KM	-	221	11	SoCf	K0 V M0 V
0213	Nuember	E410000-0	Ba Co Tz	{ -3 }	(300-5)	[0000]	-	-	-	002	10	SoCf	M6 V
0218	Sulabha	D410361-8	Lo Co Tz Mr AslaW	{ -3 }	(E20+2)	[2175]	-	-	-	102	12	SoCf	M7 V
0311	Corbine IV	E400965-7	Hi In Na Va Co Tz O:Ustr-2909	{ 0 }	(C89-5)	[8907]	-	-	-	612	13	SoCf	M6 V
0320	Amaranth	A673678-7	Ni	{ -1 }	(A50-1)	[4526]	-	-	-	233	17	SoCf	F9 V
0412	Germering	D100435-7	Ni Va Co Sa	{ -3 }	(332+2)	[4153]	-	-	-	211	9	SoCf	M7 V
0414	Qinglong	B310531-7	Ni	{ -1 }	(545-3)	[445A]	-	-	-	503	10	SoCf	G6 V M0 V
0517	Arsenic	E4A3102-8	Fl Lo Fr	{ -3 }	(600+1)	[116A]	-	-	-	720	6	SoCf	M1 V
0518	Wetzel	A763534-C	Ni Pr	{ 1 }	(E45-5)	[563D]	-	-	-	434	20	SoCf	K1 V
0613	Simcoe	C79A210-A	Lo Wa	{ 0 }	(911+0)	[224E]	-	-	-	603	13	NaHu	G2 V
0615	Pontus	B87A542-A	Ni Wa Ho	{ 2 }	(A45+4)	[772E]	-	KM	-	331	15	SoCf	G4 V K2 V M8 V
0715	Bedelia	E854502-5	Ag Ni Tu	{ -2 }	(542-1)	[7362]	-	-	-	103	9	SoCf	K6 V F3 V
0716	Telemachus	C201566-7	Ic Ni Va Co Tz Mr Asla6	{ -2 }	(542+2)	[2317]	-	-	-	630	12	SoCf	M8 V M0 V M9 V
0718	Plummet	X630000-0	Ba De Po Tz Fo	{ -3 }	(800-5)	[0000]	-	-	R	000	8	SoCf	M5 V
0812	Plangent	E303226-8	Ic Lo Va Tz	{ -3 }	(910-1)	[215B]	-	-	-	102	10	SoCf	M1 V
0913	Fathom	B79A345-8	Lo Wa	{ 0 }	(B20+1)	[537A]	-	KM	-	530	11	SoCf	G1 V
1012	Chastain	E410000-0	Ba	{ -3 }	(800-5)	[0000]	-	-	-	001	10	SoCf	M8 V
1020	Tacitus	A720338-9	De He Lo Po Co Tz	{ 1 }	(720+3)	[148B]	-	KM	-	412	12	SoCf	M6 V M7 V
1115	Amphirite	E57A537-8	Ni Wa Ho	{ -3 }	(740-1)	[7234]	-	-	-	201	5	NaHu	F1 V M9 V
1213	Jameson	E310000-0	Ba Tz	{ -3 }	(600-5)	[0000]	-	-	-	000	11	NaXX	M9 V
1217	Nyagan	B405456-D	Ic Ni Va Co Tz	{ 1 }	(E32-1)	[253I]	-	-	-	211	9	SoCf	M4 V
1316	Edenic	D788134-5	Lo	{ -3 }	(800-1)	[1143]	-	-	-	102	12	SoCf	G9 V
1317	Lucius	E620100-7	De He Lo Po Ho Sa	{ -3 }	(600-2)	[511B]	-	-	-	203	13	SoCf	G3 IV
1412	Troyes	E410100-7	Lo Ho Tz	{ -3 }	(600+3)	[1123]	-	-	-	832	11	SoCf	M7 V
1414	Tsushima	E4A7200-9	Fl Lo	{ -2 }	(D10-3)	[5177]	-	-	-	604	17	SoCf	G5 IV
1420	Sangju	D4A3436-8	Fl Ni Px Fr AslaW	{ -3 }	(A30+2)	[2177]	-	-	-	322	15	SoCf	M7 V
1512	Nyssa	A644ACD-C	Hi In Cp	{ 4 }	(A9B+1)	[CE5A]	-	-	-	412	10	SoCf	K3 V
1516	Arctica	A8A4545-D	Fl Ni Co	{ 1 }	(943+2)	[868C]	-	-	-	300	8	SoCf	K6 V
1614	Malvolio	X9C8000-0	Ba Fl Co Tz Fo	{ -3 }	(900-5)	[0000]	-	-	R	002	10	SoCf	M1 V
1713	Karina	E9A6213-8	Fl Lo Fr	{ -3 }	(B10+0)	[415A]	-	-	-	402	9	SoCf	M1 V G7 V
1714	Taiping	E200134-7	Lo Va	{ -3 }	(800-5)	[1144]	-	-	-	602	15	SoCf	K0 V
1716	Venial	C200444-7	Ni Va Ho Tz	{ -2 }	(734+5)	[1297]	-	-	-	320	9	NaHu	M9 V
1717	Biton	A764ACA-B	Hi Lk Fo	{ 3 }	(F9D-2)	[CD6F]	-	-	R	222	13	NaHu	M6 V
1817	Laurel	E576473-5	Ni Pa Sa	{ -3 }	(532+1)	[5156]	-	-	-	502	11	SoCf	K7 V K0 V
1820	Pauciti	A532332-B	Lo Po Tz	{ 1 }	(D21-1)	[7459]	-	-	-	413	13	SoCf	M0 V
1916	Quince	D547568-5	Ag Ni O:1918	{ -2 }	(741+1)	[6357]	-	-	-	723	12	SoCf	F6 V F5 V K8 V
1917	Alignak	E59A77A-5	Pi Wa Co	{ -2 }	(A62-4)	[A556]	-	-	-	134	12	SoCf	G8 V
1918	Ariette	A679AA7-E	Hi In Cp	{ 4 }	(798-4)	[CE1A]	-	-	-	330	10	SoCf	G6 V M0 V
2017	Lancaster	C510225-7	Lo Tz	{ -2 }	(710+1)	[3177]	-	K	-	934	18	NaHu	M8 V
2019	Herne	B754730-8	Ag Tu	{ 2 }	(A6C-2)	[7919]	-	KM	-	231	12	SoCf	K2 V G6 V
2020	Manju	E200258-7	Lo Va Lk	{ -3 }	(510+4)	[1175]	-	-	-	131	11	SoCf	M0 V G1 V
2113	Hka'i	A100365-A	Lo Va Tz Mr AslaW	{ 2 }	(821+4)	[454D]	-	KM	-	222	14	SoCf	M1 V
2116	Beta Trianguli	B200552-8	Ni Va	{ -1 }	(B41+1)	[5479]	-	-	-	400	10	SoCf	A5 IV
2117	Pariti	C310135-7	Lo Tz	{ -2 }	(700+0)	[1134]	-	-	-	500	11	SoCf	M2 V
2118	Hecatomb	X530000-0	Ba De Po Tz Fo	{ -3 }	(700-5)	[0000]	-	-	R	002	11	SoCf	M2 V M0 V
2211	Aroostook	D89557A-5	Ag Ni	{ -2 }	(743+1)	[1366]	-	-	-	113	12	SoCf	G6 V
2212	Dheneb	E200499-8	Ni Va Ho	{ -3 }	(G30+0)	[4179]	-	-	-	623	12	SoCf	K2 III
2217	Temuka	E520302-7	De He Lo Po Tz	{ -3 }	(B20+5)	[4138]	-	-	-	921	9	SoCf	M1 V
2313	Rangiriri	B66588B-5	Ga Pa Ph Ri Tz Dolp2	{ 2 }	(67B-4)	[9A88]	-	KM	-	211	12	SoCf	M4 V M9 V
2314	Arable	D646400-5	Ni Pa	{ -3 }	(630+0)	[2185]	-	-	-	600	10	SoCf	G3 V
2315	Waitaki	C5A4548-8	Fl Ni Px Co Tz	{ -2 }	(840+5)	[4398]	-	-	-	402	13	SoCf	M6 V
2317	Kratu	E300100-7	Lo Va	{ -3 }	(700+1)	[3146]	-	-	-	502	13	NaHu	F0 V K0 III
2413	Anvik	C641200-7	He Lo Po	{ -2 }	(510+1)	[515C]	-	-	-	400	8	SoCf	G1 V
2414	Redwine	D778500-5	Ag Ni	{ -2 }	(744-2)	[43A5]	-	-	-	601	9	NaHu	K3 V
2415	Perfidi	X200000-0	Ba Va Tz Fo	{ -3 }	(500-5)	[0000]	-	-	R	003	6	NaXX	M7 V K5 V
2419	Huxley	C79A245-A	Lo Wa Co	{ 0 }	(G11+2)	[1276]	-	-	-	432	17	NaHu	G7 V M6 V
2517	Nineteen	C8A1443-8	Fl He Ni Tz	{ -2 }	(730+1)	[3298]	-	K	-	712	8	NaHu	M8 V F8 V
2519	Stellaris	E200225-7	Lo Va Co Tz	{ -3 }	(B10-1)	[2168]	-	-	-	202	11	SoCf	M3 V
2613	Velden	E97A303-9	Lo Wa	{ -2 }	(C20-2)	[2156]	-	-	-	514	13	SoCf	K5 V
2617	Coraxon 4	D20098A-8	Hi In Na Va Tz	{ 0 }	(D87-2)	[5999]	-	-	-	333	15	NaHu	M3 V
2619	Amarilis	E202101-7	Ic Lo Va Tz	{ -3 }	(400+3)	[1149]	-	-	-	623	14	SoCf	M3 V
2712	Mavalvala	E520347-7	De He Lo Po Tz	{ -3 }	(820+3)	[2177]	-	-	-	501	6	SoCf	M7 V
2714	Daleiden	X4A4000-0	Ba Fl Co Lk Fo	{ -3 }	(900-5)	[0000]	-	-	R	011	12	SoCf	M1 V
2715	Campinas	B533410-7	Ni Po Co Tz	{ 0 }	(630+1)	[145A]	-	KM	-	202	13	SoCf	M1 V
2716	Zarn	C685644-7	Ag Ga Ni Ri (Zarn)	{ 0 }	(755+0)	[466A]	-	-	-	103	14	SoCf	G5 V K5 V
2717	Borovichi	E530434-6	De Ni Po Tz	{ -3 }	(731-2)	[3134]	-	-	-	512	14	SoCf	M7 V
2720	Stanza Belt	E000100-8	As Lo Va Co Lk	{ -3 }	(400-2)	[411B]	-	-	-	202	14	SoCf	M8 V G5 V
2811	Metellus	C201644-7	Ic Na Ni Va Tz	{ -2 }	(850+0)	[9445]	-	K	-	200	12	NaHu	M8 V M7 V
2816	Graphite	E830220-6	De Lo Po	{ -3 }	(B10-1)	[7152]	-	-	-	603	12	SoCf	M0 V
2817	Keel	B402357-D	Ic Lo Va Lk	{ 1 }	(E21-3)	[247B]	-	-	-	232	16	SoCf	K3 V
2820	Billow	X8CA000-0	Ba Fl Wa Tz Fo	{ -3 }	(500-5)	[0000]	-	-	R	033	14	NaXX	M2 V M6 V
2911	Jianwu	D410256-7	Lo Sa	{ -3 }	(710+2)	[6167]	-	-	-	403	10	SoCf	M8 V M6 V
2912	Deter	X200000-0	Ba Va Co Lk Fo	{ -3 }	(600-5)	[0000]	-	-	R	033	15	SoCf	M9 V
2915	Thrawn	B720567-7	De He Ni Po Lk O:3020	{ -1 }	(745-1)	[844A]	-	-	-	404	9	SoCf	M7 V K4 V
2916	Ominous	E540131-5	De He Lo Po	{ -3 }	(600+1)	[1174]	-	-	-	303	10	SoCf	K9 V
2920	Thermus	B676599-A	Ag Ni Tr Tz	{ 2 }	(743+3)	[374C]	-	-	-	200	8	SoCf	K0 V
3013	Heremac	X410000-0	Ba Co Fo	{ -3 }	(600-5)	[0000]	-	-	R	002	5	NaXX	M0 III K8 V
3015	Kelheim	X7A6233-8	Fl Lo Co Fo	{ -3 }	(F10-4)	[1196]	-	-	R	504	9	NaHu	M0 II M9 V
3020	Cassio	A977986-D	Hi In Cp	{ 4 }	(988-5)	[CD5D]	-	-	-	532	14	SoCf	F4 V
3111	Aedes	A100575-E	Ni Va	{ 1 }	(C45-1)	[368F]	-	-	-	103	12	NaHu	G8 V G1 V
3113	Ready	B4A3557-C	Fl Ni Px Ho Tz	{ 1 }	(647+2)	[165D]	-	-	-	901	10	SoCf	M5 V
3116	Torrefy	X832000-0	Ba Po Ho Fo	{ -3 }	(200-5)	[0000]	-	-	R	013	10	SoCf	F7 V
3215	Vinzent	E200577-9	Ni Va Lk	{ -2 }	(D43+0)	[4369]	-	-	-	703	7	SoCf	M9 V K4 V
3217	Siena	E500267-7	Lo Va Ho O:3020	{ -3 }	(910+0)	[2162]	-	-	-	102	6	SoCf	A8 V
0123	Mariya	E200111-7	Lo Va Sa	{ -3 }	(500+0)	[5149]	-	-	-	632	15	SoCf	M6 V A2 IV
0124	Cain	X300000-0	Ba Va Co Tz Fo	{ -3 }	(700-5)	[0000]	-	-	R	022	14	SoCf	M8 V M6 V
0126	Lemain	E410000-0	Ba Ho Tz	{ -3 }	(700-5)	[0000]	-	-	-	011	12	SoCf	K9 V
0221	Ambit	E100333-8	Lo Va	{ -3 }	(820+1)	[7189]	-	-	-	201	12	SoCf	K9 V
0222	Givatayim	A768A72-E	Hi Cp	{ 4 }	(D99+3)	[8E4F]	-	KM	-	112	11	SoCf	G8 V
0224	Kiana Junction	C100400-9	Ni Va Tz	{ -1 }	(930+4)	[1337]	-	-	-	331	10	SoCf	M9 V
0225	Namwon	D587312-4	Lo	{ -3 }	(520-2)	[7117]	-	-	-	412	13	SoCf	F9 V M2 V
0227	Maia	E655499-5	Ga Ni Pa (Sciapods)	{ -3 }	(232+0)	[7156]	-	-	-	203	9	SoCf	K2 V
0326	Meliboea	E78A501-9	Ni Pr Wa	{ -2 }	(841+3)	[3325]	-	-	-	802	9	SoCf	K5 V
0327	Guyane	D202130-8	Ic Lo Va Co Tz	{ -3 }	(E00-2)	[1178]	-	-	-	633	17	SoCf	M7 V M3 V
0422	Kobuk	C200422-7	Ni Va Co Tz	{ -2 }	(732+0)	[724C]	-	K	-	301	8	NaHu	M7 V
0425	Rancor	E313201-8	Ic Lo Ho Sa	{ -3 }	(710-4)	[4168]	-	-	-	102	13	SoCf	M3 V
0427	Rosaline	A56676B-9	Ag Ri Mr Asla7	{ 4 }	(E68+2)	[6B5B]	-	KM	-	111	5	SoCf	G3 V M8 V
0428	Cynoscion	D88A79A-4	Ri Wa	{ -1 }	(967+2)	[B639]	-	-	-	132	16	SoCf	G1 V G6 V K4 V
0429	Bequest	B769689-8	Ni Ri Co	{ 1 }	(851-2)	[4759]	-	KM	-	711	12	SoCf	G9 V M4 V
0622	Futile	X9B5000-0	Ba Fl Fo	{ -3 }	(700-5)	[0000]	-	-	R	000	6	SoCf	F8 V
0629	Opelika	C586457-9	Ni Pa	{ -1 }	(E31-3)	[232C]	-	-	-	423	10	SoCf	G3 V M6 V
0729	Sorocaba	B644613-6	Ag Ni	{ 0 }	(455+1)	[4682]	-	-	-	600	9	SoCf	G5 V
0730	CN348	X200000-0	Ba Va Lk Fo	{ -3 }	(600-5)	[0000]	-	-	R	012	15	SoCf	G4 V
0822	Cyaneus	C100536-9	Ni Va Co Tz	{ -1 }	(F45-1)	[145B]	-	-	-	834	19	NaHu	M0 V
0825	Vitchizna	E776333-5	Lo Tr Tz	{ -3 }	(620-3)	[2154]	-	-	-	724	12	NaHu	K9 V M9 V
