Sector	Hex	Name	UWP	TC	Remarks	Sophonts 	Details	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	Allegiance	Stars	SS	W	RU
Akti	0301	Aiaikh	C203724-A	Ic Na Va 	Pi 			{ 1 }	(B6A-1)	[5838]				802	AsMw	M2 V	A	9	594
Akti	0304	Yayohyarl	B553837-A	Po 	Ph 			{ 2 }	(C7B+2)	[8A5A]		R		102	AsWc	F8 V	A	11	1,848
Akti	0307	Aea	C554584-7	Ag Ni 				{ -1 }	(743-3)	[3435]				502	AsTv	F2 V	A	9	59
Akti	0308	Asealea	C5847BC-8	Ag Ri 	Pz 			{ 1 }	(E69+4)	[A88B]			A	414	AsMw	F9 V	A	11	3,024
Akti	0311	ISOUWYAR	E75999C-9	Hi 	Pz 			{ 0 }	(G8A+3)	[C98C]			A	205	AsTv	K4 V	E	12	3,840
Akti	0319	Eaa	B5607BA-A	De Ri 				{ 3 }	(B6C+5)	[9A7C]		T		720	AsT9	F5 V	E	8	3,960
Akti	0320	Yoktiy	E848375-6	Lo 				{ -3 }	(521-5)	[1134]				815	AsSc	F0 V M7 V	E	13	5
Akti	0326	Eaftow	C597584-9	Ag Ni 				{ 0 }	(744-2)	[3537]				600	AsVc	F2 V M0 V	I	10	90
Akti	0328	IYAWWEUFTA	D8B7A73-9	Fl Hi In 				{ 1 }	(G9B-2)	[7B26]				104	AsSc	F4 V M1 V	I	9	1,267
Akti	0329	Khauhfoktes	C867367-9	Lo Ga 			O:	{ -1 }	(821-1)	[3259]				803	AsSF	G4 V	I	10	14
Akti	0330	Uawiy	A73A579-E	Ni Wa 				{ 1 }	(C45+2)	[666F]		R		414	AsSc	F1 V	I	12	480
Akti	0334	Khteakaii	C8B3558-8	Fl Ni 				{ -2 }	(C42-2)	[5358]		R		214	AsTv	M1 V	M	15	77
Akti	0340	Erlyuwah	C000367-B	As Lo Va 			O:	{ 0 }	(821+1)	[335B]				703	AsSF	F0 V M1 V	M	12	16
Akti	0408	Eaaiyiyo	D5668A5-6	Ri 	Pa Ph 			{ -1 }	(A76-3)	[6734]				802	AsT9	K3 V	A	7	294
Akti	0409	Auea	B310687-9	Na Ni 				{ 0 }	(B54+1)	[6659]		R		203	AsVc	F6 III K2 V	A	12	220
Akti	0411	Hfewiuhlesou	D669887-7	Ri 	Ph 			{ -1 }	(A77-1)	[8757]				101	AsT6	F5 V	E	11	441
Akti	0414	Ouilr	D555686-6	Ag Ni 				{ -2 }	(852-3)	[5445]				505	AsWc	F8 V M5 V	E	12	56
Akti	0417	HWAOEKELREHA	C849974-B	Hi In 				{ 3 }	(C8E+1)	[7C39]				310	AsSc	F1 V	E	12	1,344
Akti	0419	Aftahkea	D543889-6	Po 	Ph Pi 			{ -2 }	(A75-1)	[9667]				606	AsWc	F4 V M3 V	E	14	315
Akti	0422	Khtaea	C100878-9	Na Va 	Ph Pi 			{ 0 }	(B79+1)	[8859]		T		901	AsSc	F5 V	I	7	693
Akti	0423	Auluah	B100227-C	Lo Va 				{ 1 }	(711+1)	[235C]				512	AsWc	M8 III M7 V	I	12	7
Akti	0425	Fualyee	E100855-8	Na Va 	Ph Pi 			{ -2 }	(D76-4)	[6636]				103	AsWc	F2 V	I	13	328
Akti	0431	Yetitryuw	C77A68B-9	Ni Wa 	Da 			{ -1 }	(B53+1)	[857B]		T	A	921	AsT5	F6 V M4 V	M	10	165
Akti	0440	Earaw	B425585-D	Ni 				{ 1 }	(C45-1)	[363B]		T		114	AsT8	A0 V	M	11	216
Akti	0501	OEI	E5509B7-8	De Hi Po 				{ -1 }	(H88-1)	[9858]				706	AsTv	F5 V M1 V	A	12	979
Akti	0502	Khtaileirl	C52877C-9		Pi Pz 			{ 0 }	(A69+3)	[A78C]			A	701	AsSc	K7 V	A	13	1,620
Akti	0504	Ka'yorl	C7566A9-7	Ag Ni Ga 				{ -1 }	(853+1)	[7568]		R		905	AsWc	F5 V	A	9	120
Akti	0506	Yeuo	E553699-5	Ni Po 				{ -3 }	(851-2)	[7366]				120	AsTv	F0 V M8 V	A	10	32
Akti	0509	AEI	C78A978-A	Hi Wa 	Pr 			{ 2 }	(H8C+2)	[9B5A]				924	AsSc	F4 V	A	18	3,264
Akti	0510	Sekhtiyhaus	E432555-8	Ni Po 				{ -3 }	(A41-5)	[3236]				103	AsT4	M1 V M1 V	A	6	20
Akti	0512	Hwakhyes	E433000-0	Ba Po 				{ -3 }	(200-5)	[0000]				000	AsXX	F4 V	E	10	0
Akti	0514	Iesta	C587526-8	Ag Ni 	Pr 			{ -1 }	(B43-2)	[4447]		R		313	AsVc	F2 V M7 V	E	13	106
Akti	0521	Eaeahu	C20058B-B	Ni Va 	Da 			{ 0 }	(E44+2)	[757D]			A	916	AsTv	M0 V M7 V	I	11	448
Akti	0522	IYLASAHOR	C9B5989-B	Fl Hi In 				{ 3 }	(B8E+4)	[AC6C]				200	AsMw	F8 V M0 V	I	6	4,928
Akti	0530	Atluseweirl	BAC5449-A	Fl Ni 				{ 1 }	(934+2)	[556B]		R		121	AsWc	M1 V	I	15	216
Akti	0532	Eko	C694167-9	Lo 				{ -1 }	(B11-1)	[1159]				608	AsSc	F5 V M4 V	M	15	10
Akti	0534	Felairlao	C436369-A	Lo 			O:	{ 0 }	(921+1)	[436B]				904	AsSF	G5 V	M	9	18
Akti	0535	Feahehah	B79688A-A		Pa Ph Pi 			{ 2 }	(E7B+4)	[AA7C]		R		413	AsMw	F8 V	M	15	4,312
Akti	0536	A	C764884-8	Ri 	Pa Ph 			{ 0 }	(F78-2)	[6836]		T		605	AsT8	F1 V	M	13	672
Akti	0539	Ealahre	E562677-6	Ni Ri 				{ -2 }	(852-2)	[6456]				305	AsSc	F5 V	M	9	64
Akti	0602	Aoae	C866275-9	Lo Ga 				{ -1 }	(711-3)	[1137]				312	AsSc	K3 V M8 V	A	10	5
Akti	0603	Yual	A9B5747-B	Fl 				{ 2 }	(96C+2)	[795B]				900	AsT0	M3 III	A	10	1,296
Akti	0604	EASIW	C55298C-A	Hi Po 	Pz 			{ 2 }	(F8C+5)	[CB8D]			A	522	AsTv	F9 V M1 V	A	12	7,200
Akti	0606	Htaoaia	D57867B-6	Ag Ni 	Da 			{ -2 }	(852+1)	[8478]			A	104	AsSc	M2 V	A	8	80
Akti	0608	Yehwyehyus	E310000-0	Ba 				{ -3 }	(200-5)	[0000]				027	AsXX	F8 V M7 V	A	15	0
Akti	0609	Awiywearl	C89A555-A	Ni Wa 				{ 0 }	(D44-2)	[3538]				806	AsMw	M3 V M1 V	A	15	166
Akti	0611	Khesail	E310000-0	Ba 				{ -3 }	(200-5)	[0000]				001	AsXX	M0 V M8 V	E	9	0
Akti	0612	Eliyhaiehiy	B5445A9-B	Ag Ni 				{ 2 }	(A46+3)	[676C]				903	AsMw	F8 V M2 V	E	11	720
Akti	0613	TYOYA	D513A94-B	Hi Ic In Na 				{ 2 }	(E9D+1)	[8C39]		T		502	AsT8	F1 V	E	10	1,638
Akti	0616	Oiweaaye	E8A8000-0	Ba Fl 				{ -3 }	(200-5)	[0000]				000	AsXX	M2 V M5 V	E	10	0
Akti	0619	A'ileis	C55569B-7	Ag Ni 	Da 			{ -1 }	(853+1)	[8579]		R	A	902	AsMw	F9 V	E	10	120
Akti	0621	Khakho	C7B2789-9	Fl He 				{ 0 }	(B69+1)	[876A]				302	AsWc	M1 V	I	11	594
Akti	0623	Triheaheh	C785314-9	Lo Ga 				{ -1 }	(821-3)	[1237]		R		603	AsSF	F4 V	I	7	11
Akti	0627	Eahtei	B425369-D	Lo 			O:	{ 1 }	(721+2)	[446E]				402	AsSF	G7 V	I	11	28
Akti	0628	Alrahehoua	B000227-9	As Lo Va 				{ 0 }	(611+1)	[2259]		R		202	AsVc	G1 V	I	15	6
Akti	0630	Yeo	B8A7169-C	Fl Lo 			O:	{ 1 }	(411+2)	[226D]				101	AsSF	K0 V	I	10	8
Akti	0634	Aeasaorlais	B56949B-C	Ni 	Da 			{ 1 }	(834+3)	[657E]		R	A	402	AsVc	F9 V M2 V	M	13	288
Akti	0635	Ehyariyh	C669272-8	Lo 				{ -2 }	(911-5)	[1114]				223	AsSc	F7 V	M	13	5
Akti	0637	Atryas	C74A367-B	Lo Wa 			O:	{ 0 }	(721+1)	[335B]				720	AsSF	F7 V	M	6	14
Akti	0639	Ihfaia	C659877-9		Ph 			{ 0 }	(F79+1)	[8859]				923	AsSc	F5 V	M	17	945
Akti	0705	Auaiyya	C593677-7	Ni 				{ -2 }	(852-2)	[6457]		R		200	AsSc	F5 V	A	6	64
Akti	0709	Ewyelr	C310785-A	Na 	Pi 			{ 1 }	(F6A-1)	[5838]				306	AsWc	M1 V M0 V	A	10	810
Akti	0711	Oua	B63A557-A	Ni Wa 				{ 1 }	(745+1)	[565A]		T		800	AsTv	M0 V	E	6	140
Akti	0714	Kaokho	D562527-7	Ni 	Pr 			{ -3 }	(741-3)	[5257]				902	AsWc	G7 V	E	9	20
Akti	0717	Ahei	B432479-B	Ni Po 				{ 1 }	(B34+2)	[556C]				505	AsSc	M2 V	E	8	264
Akti	0733	Auliyleirl	D5786BA-6	Ag Ni 				{ -2 }	(852+1)	[8478]		R		414	AsWc	F7 V M4 V	M	16	80
Akti	0739	Ktowuitoa	B522842-B	He Na Po 	Ph Pi 			{ 2 }	(C7C-2)	[4A17]				320	AsWc	F5 V M0 V	M	13	806
Akti	0802	Kuyoa	E574000-0	Ba 				{ -3 }	(200-5)	[0000]				023	AsXX	F5 V	A	15	0
Akti	0803	Iyeaftaorl	C5627B6-8	Ri 				{ 0 }	(G68-1)	[6747]				225	AsMw	F8 V	A	15	691
Akti	0806	Okas	C43649A-9	Ni 				{ -1 }	(732+1)	[637B]		R		710	AsMw	F9 V	A	9	42
Akti	0807	Iwa	B000784-D	As Na Va 	Pi 			{ 2 }	(C6D+1)	[593B]				703	AsMw	M0 V	A	9	936
Akti	0809	Ahea	C547588-8	Ag Ni 				{ -1 }	(843-1)	[5458]				701	AsMw	M2 V	A	11	86
Akti	0811	Auhfya	D614547-8	Ic Ni 				{ -3 }	(741-3)	[5258]		R		900	AsWc	K4 V M1 V	E	6	20
Akti	0819	Ilealai	B7A25A8-C	Fl He Ni 				{ 1 }	(745+1)	[565C]				900	AsTv	M1 V M1 V	E	5	140
Akti	0820	Hlaftea	A999886-D		Ph Pi 			{ 2 }	(E7D+1)	[7A4C]		R		604	AsWc	F1 V	E	11	1,274
Akti	0823	Eiar	B735489-C	Ni 				{ 1 }	(D34+2)	[556D]		T		525	AsT3	M3 V M5 V	I	12	312
Akti	0825	Hofoahiy'uyu	E624457-7	Ni 				{ -3 }	(631-3)	[4157]				200	AsWc	M1 V	I	12	13
Akti	0826	Healawaiseai	CAB649C-8	Fl Ni 	Da 			{ -2 }	(A31+1)	[728B]			A	604	AsVc	K2 IV M1 V	I	14	30
Akti	0831	Ahloe	C6656B8-8	Ag Ni Ga Ri 				{ 0 }	(C54+1)	[6658]		T		904	AsT0	F2 V M2 V	M	9	240
Akti	0832	Helowakh	C552349-9	Lo Po 	Da 			{ -1 }	(821+1)	[426A]			A	812	AsMw	K2 V	M	12	16
Akti	0833	Iylea	C5536B6-8	Ni Po 				{ -2 }	(A52-3)	[5447]		R		802	AsVc	F2 V	M	11	70
Akti	0834	Yawah	CAD57C7-9					{ 0 }	(E69+1)	[7759]				114	AsMw	M1 V	M	14	756
Akti	0836	Aieuataulor	B888583-B	Ag Ni 	Pr 			{ 2 }	(946-1)	[2728]				402	AsWc	F3 V M2 V	M	15	194
Akti	0839	Hfasiiy	E8B3000-0	Ba Fl 				{ -3 }	(200-5)	[0000]				000	AsXX	M0 V M5 V	M	7	0
Akti	0840	Ebo	E430000-0	Ba De Po 				{ -3 }	(200-5)	[0000]				013	NaXX	F9 V	M	10	0
Akti	0902	Urlaie	C565645-7	Ag Ni Ri 				{ 0 }	(854-2)	[4635]		R		506	AsMw	F9 V M0 V M6 V	B	9	128
Akti	0904	Ake	A560685-B	De Ni Ri 				{ 2 }	(B56+1)	[4839]		R		603	AsMw	F2 V	B	11	330
Akti	0909	IYTOFTEIH	C9C4984-A	Fl Hi In 				{ 3 }	(D8D+1)	[7C38]				220	AsVc	F4 V	B	7	1,352
Akti	0912	Alui	C5947A5-8	Ag 	Pi 			{ 0 }	(968-2)	[5736]				100	AsT7	F3 V M7 V	F	8	346
Akti	0915	Aokhalyaae	E5028A9-7	Ic Na Va 	Ph Pi 			{ -2 }	(A76-1)	[9668]				800	AsMw	F0 V	F	12	378
Akti	0916	Aeailye	B6B1367-B	Fl He Lo 			O:	{ 1 }	(921+1)	[345B]				104	AsSF	M0 V	F	11	18
Akti	0917	Alaktuha	C587577-9	Ag Ni 	Pr 			{ 0 }	(744+1)	[5559]				200	AsSc	M0 V	F	8	112
Akti	0918	Eioea	E564485-7	Ni 	Pa 			{ -3 }	(631-5)	[2135]				304	AsT3	K1 V M5 V	F	12	9
Akti	0919	Aikya	C304454-C	Ic Ni Va 				{ 0 }	(633-2)	[243A]				100	AsT3	K7 V	F	12	43
Akti	0921	Koa	B5267BA-B		Pi 			{ 2 }	(B6C+4)	[997D]		R		502	AsMw	F3 V	J	9	3,168
Akti	0922	Ea'ai	C66A599-7	Ni Wa 	Pr 			{ -2 }	(742-1)	[6368]				702	AsT4	M2 V M8 V	J	14	50
Akti	0924	Treaeaa	C866876-8	Ga Ri 	Pa Ph 			{ 0 }	(G78-1)	[7847]				906	AsSc	F9 V M4 V	J	12	806
Akti	0925	Ktyua	D543499-7	Ni Po 				{ -3 }	(631-2)	[5168]				504	AsTv	F7 V	J	13	14
Akti	0926	Tiyaou	B423387-B	Lo Po 				{ 1 }	(921+1)	[345B]				504	AsT2	F8 V M7 V	J	16	18
Akti	0932	URIIYLIYH	C581986-A	Hi 	Pr 			{ 2 }	(H8C+1)	[8B49]		T		615	AsTv	M0 V M8 V	N	15	1,632
Akti	0933	Ehlekh	E200000-0	Ba Va 				{ -3 }	(200-5)	[0000]				004	AsXX	M2 V	N	11	0
Akti	0935	Khtaiaosiryo	C588266-9	Lo 			O:	{ -1 }	(411-2)	[1148]				700	AsSF	F2 V	N	8	3
Akti	0937	Aoeiah	C6898AA-9	Ri 	Ph 			{ 1 }	(B7A+3)	[A97B]				710	AsTv	G0 V	N	8	2,310
Akti	0938	Ikahleitri	C764588-9	Ag Ni 	Pr 			{ 0 }	(B44+1)	[5559]				913	AsVc	F8 V	N	10	176
Akti	0939	Irel	B436879-B		Ph 			{ 2 }	(A7C+3)	[9A6C]		T		200	AsSc	F8 V M5 V M3 V	N	8	2,520
Akti	1004	Ahaoakheiya	C57688A-8		Pa Ph Pi 			{ -1 }	(E77+1)	[A77A]				813	AsT0	F9 V	B	9	686
Akti	1005	KASTIYWOA	C54497C-A	Hi In 	Pz 			{ 3 }	(E8D+5)	[CC8D]		T	A	603	AsSc	F4 V	B	10	7,280
Akti	1006	Reakheisi	A5428A6-C	He Po 	Ph Pi 			{ 2 }	(D7C+1)	[7A4B]				203	AsVc	G8 V	B	9	1,092
Akti	1009	Yakhei'	B431444-D	Ni Po 				{ 1 }	(834-1)	[253B]				302	AsVc	M1 V	B	10	86
Akti	1010	Uihiya	A560249-9	De Lo 				{ 0 }	(411+1)	[326A]		R		300	AsTv	M1 V	B	6	4
Akti	1012	Au	E646276-7	Lo 				{ -3 }	(411-4)	[1146]				302	AsSc	F1 V	F	12	2
Akti	1013	Otaulr	E000000-0	As Ba Va 				{ -3 }	(200-5)	[0000]				005	AsXX	G1 V M3 V	F	9	0
Akti	1014	Ehye	A574223-D	Lo 				{ 1 }	(611-2)	[132A]		R		602	AsVc	F7 V M6 V	F	14	5
Akti	1019	OUHEIE	C403A79-D	Hi Ic In Na Va 				{ 3 }	(F9F+4)	[BD6E]				303	AsSc	F6 V	F	12	8,100
Akti	1020	Erlou	B677558-B	Ag Ni 				{ 2 }	(746+2)	[575B]				200	AsTv	F8 V	F	4	336
Akti	1021	Akhewhye	B625457-D	Ni 				{ 1 }	(A34+1)	[455D]				804	AsT0	F5 V M7 V	J	12	120
Akti	1028	Ktyaalri	E200438-8	Ni Va 	Da 			{ -3 }	(631-3)	[4158]			A	700	AsMw	F4 V M3 V	J	9	13
Akti	1032	HLAHIH	E694A72-8	Hi In 				{ 0 }	(F99-4)	[6A14]				603	AsSc	F8 V	N	12	729
Akti	1033	Aio	E434000-0	Ba 				{ -3 }	(200-5)	[0000]				002	AsXX	M1 V	N	14	0
Akti	1034	EIFAYAEI	B847977-C	Hi In 				{ 4 }	(B8F+4)	[9D5C]		R		300	AsSc	F9 V	N	10	5,280
Akti	1037	Eauaeiau	D543388-7	Lo Po 				{ -3 }	(521-3)	[3157]		R		704	AsMw	M1 V	N	13	7
Akti	1038	Aseiwihokhso	B65826A-B	Lo 			O:	{ 1 }	(711+3)	[437D]		R		803	AsSF	G4 V M0 V	N	9	21
Akti	1103	Heai	D100476-8	Ni Va 				{ -3 }	(931-4)	[3147]		R		503	AsSc	K1 II	B	13	16
Akti	1105	Khtaofakhti	C00026B-B	As Lo Va 	Da 		O:	{ 0 }	(811+2)	[427D]			A	713	AsSF	G4 V M1 V	B	12	16
Akti	1107	Ayo	E7A3369-8	Fl Lo 			O:	{ -3 }	(B21-2)	[4169]				515	AsSF	M3 V M3 V	B	10	18
Akti	1109	Earlail	C5618B6-8	Ri 	Ph 			{ 0 }	(G78-1)	[7847]		R		606	AsTv	G5 V M1 V	B	12	806
Akti	1110	UIKHEAKH	C596986-A	Hi In 				{ 3 }	(D8D+2)	[8C49]		R		902	AsTv	F5 V	B	14	2,704
Akti	1115	Irakh	A7978C8-C		Pa Ph Pi 			{ 2 }	(C7C+2)	[8A5C]		R		802	AsWc	F9 V	F	11	2,016
Akti	1118	Rotrasyuheal	C63758A-7	Ni 				{ -2 }	(742+1)	[7379]				801	AsT3	M1 V	F	9	56
Akti	1121	Aoeryow	E897000-0	Ba 				{ -3 }	(200-5)	[0000]				021	AsXX	F5 V M5 V	J	13	0
Akti	1122	Waoteao	A557237-D	Lo 				{ 1 }	(711+1)	[235D]				721	AsT4	F1 V	J	12	7
Akti	1125	Ayah	C55947B-7	Ni 	Da 			{ -2 }	(631+1)	[6279]		R	A	803	AsSc	F4 V	J	14	18
Akti	1126	HLEIRAOAOEA	D552974-8	Hi Po 				{ -1 }	(E88-3)	[7836]		R		812	AsSc	F3 V M1 V	J	10	627
Akti	1131	Oufahakhas	C78A788-A	Ri Wa 				{ 2 }	(B6B+2)	[795A]				220	AsWc	K8 V	N	11	1,452
Akti	1134	Felukhiyrl	C664314-9	Lo 				{ -1 }	(621-3)	[1237]				901	AsSF	F3 V M7 V	N	6	8
Akti	1135	HTOHEAKEW	C555A73-C	Hi 				{ 2 }	(G9D-1)	[7C29]		R		604	AsSc	M0 V M8 V	N	14	1,685
Akti	1136	Yayawiaoi	C611389-A	Ic Lo 				{ 0 }	(621+1)	[436B]		R		601	AsMw	M3 V M7 V	N	9	12
Akti	1137	Stilrekh	EABA000-0	Ba Fl Oc 				{ -3 }	(200-5)	[0000]				002	AsXX	M1 V M4 V	N	8	0
Akti	1138	Aoe	C311147-A	Ic Lo 				{ 0 }	(311+1)	[115A]				600	AsVc	M1 V	N	11	3
Akti	1140	Baban	D56427A-7	Lo 				{ -3 }	(411-1)	[4179]				904	NaAs	F6 V	N	14	4
Akti	1202	Iya	C585598-9	Ag Ni 	Pr 			{ 0 }	(A44+1)	[5559]				512	AsVc	M1 V M6 V	B	13	160
Akti	1203	Hrisiyueahli	C535276-8	Lo 				{ -2 }	(711-3)	[1147]				203	AsT8	M1 V	B	11	5
Akti	1206	Hreahfiyu	C54657C-9	Ag Ni 	Da 			{ 0 }	(B44+3)	[858C]		T	A	413	AsSc	F2 V	B	10	528
Akti	1209	Eioukha	B686584-A	Ag Ni Ga 	Pr 			{ 2 }	(D46+1)	[3738]		R		306	AsVc	F2 V M4 V	B	12	312
Akti	1216	Rekaheakhae	C570888-8	De He 	Ph Pi 			{ -1 }	(F77-1)	[8758]				205	AsT7	K7 V	F	13	662
Akti	1217	Hkyokhtaiya'	B55336B-B	Lo Po 	Da 		O:	{ 1 }	(921+3)	[547D]			A	304	AsSF	F3 V M7 V	F	10	54
Akti	1220	Taohor	D8B348C-8	Fl Ni 	Da 			{ -3 }	(731+1)	[718B]			A	101	AsVc	M1 V	F	8	21
Akti	1222	Aktouuasyorl	C594388-9	Lo 				{ -1 }	(821-1)	[3259]				312	AsVc	M3 V	J	14	14
Akti	1230	Iaoreaea	C8377C8-9					{ 0 }	(969+1)	[7759]		T		200	AsT1	K3 V M8 V	J	13	486
Akti	1231	Hlehohea	C777386-9	Lo 				{ -1 }	(721-2)	[2248]		R		802	AsMw	G9 V	N	9	11
Akti	1235	Eheai	A3008B7-E	Na Va 	Ph Pi 			{ 2 }	(A7D+2)	[8A5E]				100	AsWc	K5 V	N	10	1,820
Akti	1236	KEHEAEA	E200985-A	Hi In Na Va 				{ 2 }	(F8C+1)	[7B38]				304	AsMw	F1 V	N	9	1,440
Akti	1237	Yoerlerluili	C99A124-8	Lo Wa 				{ -2 }	(611-4)	[1136]				612	AsT2	F4 V	N	9	4
Akti	1238	Afihteihealr	C540783-8	De He Po 	Pi 			{ -1 }	(B67-4)	[4625]				620	AsMw	F3 V	N	5	277
Akti	1302	Aorlyus	C568884-8	Ri 	Pa Ph 			{ 0 }	(E78-2)	[6836]				813	AsMw	F4 V M4 V	B	9	627
Akti	1304	Iea	E430386-8	De Lo Po 				{ -3 }	(721-4)	[2147]				702	AsTv	K8 V	B	10	8
Akti	1306	Elaohei	E5528A5-6	Po 	Ph 			{ -2 }	(A75-4)	[6634]				621	AsWc	G1 V M2 V	B	10	210
Akti	1307	Tlaoheiw	CA5769B-7	Ag Ni 	Da 			{ -1 }	(853+1)	[8579]			A	701	AsMw	F9 V	B	7	120
Akti	1309	Akheaeeah	B79868A-A	Ag Ni 				{ 2 }	(C56+4)	[887C]		R		704	AsWc	F3 V M5 V	B	10	1,440
Akti	1311	Ruiouheal	D587685-6	Ag Ni Ri 				{ -1 }	(853-3)	[4534]				710	AsWc	F0 V	F	12	84
Akti	1316	Ouorle	C777489-8	Ni 	Pa 			{ -2 }	(E31-1)	[5269]		R		926	AsTv	F2 V M4 V	F	13	38
Akti	1319	Aoe	C755759-9	Ag Ga 				{ 1 }	(D6A+2)	[886A]				513	AsWc	F4 V	F	11	1,560
Akti	1320	Eityaes	B53426B-C	Lo 	Da 		O:	{ 1 }	(911+3)	[437E]			A	923	AsSF	F1 V	F	11	27
Akti	1321	Yoeiir	A570215-A	De He Lo 				{ 1 }	(711-1)	[1338]				812	AsVc	F2 V	J	6	6
Akti	1326	Eyaheahaiiy	C58538A-9	Lo 				{ -1 }	(921+1)	[527B]				904	AsT3	G1 V	J	11	18
